,hits,kills,kdRatio,headshots,accuracy,shots,deaths,weapon,weapontype,user,gametype,ranking
238,391.0,197.0,1.4485294117647058,25.0,0.097530556248441,4009.0,136.0,iw8_lm_mgolf34,weapon_lmg,Tequim%231698,battle,4
239,196.0,109.0,4.954545454545454,9.0,0.23167848699763596,846.0,22.0,iw8_lm_lima86,weapon_lmg,Tequim%231698,battle,4
240,3627.0,1120.0,7.320261437908496,638.0,0.31313131313131315,11583.0,153.0,iw8_lm_pkilo,weapon_lmg,Tequim%231698,battle,4
241,1422.0,339.0,3.9418604651162785,185.0,0.3410889901655073,4169.0,86.0,iw8_lm_mgolf36,weapon_lmg,Tequim%231698,battle,4
242,57.0,33.0,2.75,1.0,0.4253731343283582,134.0,12.0,iw8_la_gromeo,weapon_launcher,Tequim%231698,battle,4
243,10.0,141.0,2.6111111111111107,2.0,0.029239766081871343,342.0,54.0,iw8_la_rpapa7,weapon_launcher,Tequim%231698,battle,4
244,0.0,2.0,0.5,0.0,0.0,12.0,4.0,iw8_la_juliet,weapon_launcher,Tequim%231698,battle,4
245,0.0,0.0,0.0,0.0,0.0,2.0,0.0,iw8_la_kgolf,weapon_launcher,Tequim%231698,battle,4
246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_la_mike32,weapon_launcher,Tequim%231698,battle,4
247,561.0,412.0,1.387205387205387,105.0,0.3874309392265193,1448.0,297.0,iw8_pi_cpapa,weapon_pistol,Tequim%231698,battle,4
248,3231.0,969.0,2.237875288683602,252.0,0.2712618587859961,11911.0,433.0,iw8_pi_mike9,weapon_pistol,Tequim%231698,battle,4
249,270.0,99.0,1.7368421052631582,57.0,0.30786773090079816,877.0,57.0,iw8_pi_mike1911,weapon_pistol,Tequim%231698,battle,4
250,267.0,140.0,1.4736842105263157,26.0,0.2492997198879552,1071.0,95.0,iw8_pi_golf21,weapon_pistol,Tequim%231698,battle,4
251,1584.0,1209.0,1.4870848708487086,561.0,0.3493603881782091,4534.0,813.0,iw8_pi_decho,weapon_pistol,Tequim%231698,battle,4
252,4488.0,2522.0,8.696551724137931,1987.0,0.3813084112149533,11770.0,290.0,iw8_pi_papa320,weapon_pistol,Tequim%231698,battle,4
253,544.0,311.0,3.8875,146.0,0.27783452502553624,1958.0,80.0,iw8_ar_falima,weapon_assault_rifle,Tequim%231698,battle,4
254,2151.0,441.0,2.563953488372093,92.0,0.2206153846153846,9750.0,172.0,iw8_ar_tango21,weapon_assault_rifle,Tequim%231698,battle,4
255,12591.0,2907.0,2.022964509394572,634.0,0.2319980837264151,54272.0,1437.0,iw8_ar_mike4,weapon_assault_rifle,Tequim%231698,battle,4
